validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.15 11.199853356333483 4.115195379871722 10.15767263985756 0.8079226163058498 0.099675 0.27915 0.8057730692461231 0.04705 0.180325
0.15 11.204144041390824 3.961870707234529 10.067425388245601 0.814985413787809 0.101325 0.2931 0.8134500230308613 0.0865 0.1874
0.15 11.280948956905418 4.181443619435726 10.206650679909464 0.8056195301704284 0.10045 0.280625 0.8040841394134808 0.05205 0.178175
0.15 11.208839708554567 4.09723102335822 9.799745203677663 0.805926608321818 0.09565 0.284225 0.803930600337786 0.0827 0.13345
0.15 11.109658055778906 3.9151883866626327 9.658881092294596 0.8128358667280823 0.098875 0.27895 0.8105327805926609 0.08565 0.1459
0.15 11.26165150050003 4.269665297363759 10.007497482144776 0.8057730692461231 0.1048 0.303975 0.8036235221863964 0.07545 0.17775
0.15 11.206473574032028 4.15642810533404 9.839697928215445 0.8091509289114079 0.0935 0.257125 0.8091509289114079 0.064975 0.1282
0.15 10.993599393589475 3.9290707190386507 9.492906909608703 0.8180561953017043 0.089525 0.286525 0.8126823276523876 0.09615 0.16125
0.15 11.216314757288202 3.9897610799448597 9.71424320887513 0.8048518347919545 0.09515 0.287275 0.8053124520190389 0.089625 0.178225
0.15 11.2587044586995 4.201808438172522 10.162022360207379 0.8099186242898818 0.097225 0.295725 0.8132964839551666 0.065375 0.17675
