validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.65 10.479939217262864 3.5402468538684637 8.45762859952937 0.8415476738830032 0.091975 0.171175 0.8470750806080147 0.02965 0.1029
0.65 11.023793584280554 3.9181621937558693 9.689512144150015 0.8404729003531399 0.074225 0.1522 0.8380162751420236 0.077825 0.070175
0.65 10.732561860131224 3.65215735233465 9.117140188747637 0.8406264394288346 0.0858 0.126425 0.7580224167050514 0.0 0.0
0.65 11.231225891462435 4.09078516308124 10.034029123290486 0.8433901427913404 0.120975 0.204525 0.8413941348073085 0.026275 0.08535
0.65 11.095483682054805 4.072573056437993 9.858442814283235 0.8008598188238907 0.044825 0.0455 0.8349454936281283 0.03425 0.123125
0.65 9.748704470506558 3.2121346349020765 7.956573638852779 0.8361738062336864 0.064975 0.17585 0.8261937663135268 0.038625 0.0724
0.65 11.129424252406574 4.0557753205855125 9.70149985064071 0.8406264394288346 0.068025 0.12675 0.8366344234607708 0.0324 0.072775
0.65 9.612906767924 2.9533317525978795 7.830102331775982 0.8513741747274681 0.118925 0.168925 0.8479963150621833 0.02565 0.06885
0.65 10.97123564409275 3.975868003568112 9.457050053663082 0.8306463995086749 0.05825 0.132825 0.8162137263933671 0.022875 0.05045
0.65 11.162828782302636 4.09242714523001 9.645062111031217 0.8100721633655765 0.026675 0.053325 0.8341777982496545 0.0727 0.1235
