=== Partial Correlations (with p-values) ===

[acc_imp]
  r(validity, acc_imp | L0) = 0.07177566516279058, p = 0.7636356188591318
  r(validity, acc_imp | L1) = 0.06209978933096508, p = 0.7947965140939495
  r(validity, acc_imp | bL0) = 0.08962411646222512, p = 0.7070946668880871

[IFr_imp]
  r(validity, IFr_imp | L0) = 0.01766057962964754, p = 0.9410896823304347
  r(validity, IFr_imp | L1) = 0.03849528827711229, p = 0.8719908943360952
  r(validity, IFr_imp | bL0) = -0.047122949189217306, p = 0.8436086619246814

[valid_IFr_imp]
  r(validity, valid_IFr_imp | L0) = -0.027360856950948982, p = 0.9088386507992785
  r(validity, valid_IFr_imp | L1) = -0.0352986816454657, p = 0.8825469254243905
  r(validity, valid_IFr_imp | bL0) = -0.08990555018474104, p = 0.7062139935510401


=== Multiple Regression (z = alpha*validity + beta*distance + gamma) ===

[acc_imp]
  distance=L0: alpha=3.3632428896686886, beta=3.2798592168920977, gamma=-48.63422170340496, R2=0.006941858906206133
  distance=L1: alpha=3.294557401605612, beta=3.926909550058908, gamma=-32.81481177080643, R2=0.005022831916029369
  distance=bL0: alpha=3.7696175265326257, beta=3.700986604321726, gamma=-51.929277084954606, R2=0.011155287251153556

[IFr_imp]
  distance=L0: alpha=4.899779897895301, beta=34.087833910054755, gamma=-452.977144086204, R2=0.09276119338228361
  distance=L1: alpha=12.08670805002211, beta=49.72852828891224, gamma=-359.67558739430285, R2=0.09407519473814285
  distance=bL0: alpha=-11.830263759897493, beta=18.856339166704554, gamma=-220.01382601308754, R2=0.08102783973564254

[valid_IFr_imp]
  distance=L0: alpha=-6.069683419899714, beta=11.495159876841099, gamma=-123.98169263963285, R2=0.044216709765892426
  distance=L1: alpha=-8.874459824662342, beta=10.86945353527311, gamma=-45.46059266920535, R2=0.04223527266448568
  distance=bL0: alpha=-18.014458871252057, beta=0.4603847455760186, gamma=34.95790323976484, R2=0.0406285830871409


validity L0 L1 binned_L0 acc_imp IFr_imp valid_IFr_imp
0.0 14.104358974358973 7.8008199851932885 13.331538461538463 2.057613168724297 52.936825617821086 48.219530841347115
0.05 14.093589743589742 7.804233852120734 13.336666666666668 -8.91632373113854 -31.078141315697902 4.015611797368534
0.1 14.105384615384617 7.728891786694957 13.312820512820513 3.045879354252831e-14 63.82701009397842 64.6803202832656
0.15 14.225641025641028 7.831689448560487 13.492564102564103 1.2345679012345845 36.30351548903585 43.20202792419426
0.2 14.203589743589742 7.8591584207647545 13.445897435897436 -13.580246913580247 79.91646362687086 79.4793385104414
0.25 14.13102564102564 7.90960262487638 13.40230769230769 2.6063100137174393 39.33605986773407 38.71967166941617
0.3 14.16871794871795 7.779139257675456 13.453076923076924 5.075445816186577 -20.040027845457708 -18.416287772099952
0.35 14.133076923076922 7.731677009265243 13.402564102564103 -1.0973936899862686 27.71928297946397 31.22761839616947
0.4 14.13 7.659982900458014 13.39102564102564 -1.234567901234554 31.326139923424986 40.31706433830925
0.45 14.031282051282052 7.655588218719437 13.272820512820513 3.703703703703723 31.313087365123554 44.594213978191775
0.5 13.867435897435897 7.553826463129629 13.210512820512822 3.2921810699588514 -50.413331012878565 -30.290105822234757
0.55 13.882051282051282 7.5301243238912905 13.156410256410258 -10.562414266117965 46.1277410372433 63.09499859171931
0.6 13.887948717948717 7.569553782065091 13.213846153846154 -1.3717421124828395 61.36877828054298 65.17523035448437
0.65 13.73948717948718 7.430385201023209 12.987948717948717 3.2921810699588514 -31.51322659241209 9.524001126624551
0.7 13.713076923076922 7.448428969220825 12.989743589743592 2.469135802469169 28.70257570483814 33.72631070695691
0.75 13.619487179487177 7.348901353046152 12.896410256410258 -10.150891632373094 50.395927601809944 49.18923268820665
0.8 13.595641025641026 7.352891654097531 12.840512820512823 1.5229396771264154e-14 -5.7039679777236385 -2.0279241942622463
0.85 13.317948717948719 7.138543911844813 12.553589743589743 -13.168724279835375 50.226244343891395 51.95348650062367
0.9 13.34 7.172613608362477 12.603589743589744 -0.5486968449931419 5.991124260355032 21.62314408723292
0.95 13.161538461538461 7.000555851137298 12.41948717948718 3.155006858710581 -16.17647058823529 21.357582585603353
1.0 13.00974358974359 6.88009092315427 12.240512820512821 0.41152263374487164 -10.450748346675942 12.183639802035971
