=== Partial Correlations (with p-values) ===

[acc_imp]
  r(validity, acc_imp | L0) = 0.11378750408326894, p = 0.6328896277226115
  r(validity, acc_imp | L1) = 0.23143893896292012, p = 0.3261994512239088
  r(validity, acc_imp | bL0) = 0.21091536016929574, p = 0.3720667927460204

[IFr_imp]
  r(validity, IFr_imp | L0) = -0.39385585841707277, p = 0.08575832975015585
  r(validity, IFr_imp | L1) = -0.5070959048832443, p = 0.02248614099307078
  r(validity, IFr_imp | bL0) = -0.3958872782331613, p = 0.08401088395584089

[valid_IFr_imp]
  r(validity, valid_IFr_imp | L0) = -0.4712372366400602, p = 0.035962850023424364
  r(validity, valid_IFr_imp | L1) = -0.5590039399395457, p = 0.010398842367571604
  r(validity, valid_IFr_imp | bL0) = -0.48443519349621533, p = 0.03042011695249025


=== Multiple Regression (z = alpha*validity + beta*distance + gamma) ===

[acc_imp]
  distance=L0: alpha=3.665689947009648, beta=-1.3689219770736094, gamma=19.521339167749794, R2=0.17075223950081442
  distance=L1: alpha=7.808846463842376, beta=3.16834942079714, gamma=-25.282865284188254, R2=0.17526901424167918
  distance=bL0: alpha=6.7178225415039705, beta=1.31077464880989, gamma=-18.055950097689152, R2=0.17146809041288458

[IFr_imp]
  distance=L0: alpha=-192.3829889157304, beta=-137.29371246025084, gamma=1994.589890145152, R2=0.17550743869257746
  distance=L1: alpha=-256.0843078938261, beta=-241.25876769290193, gamma=1921.1291362869401, R2=0.26730765613563856
  distance=bL0: alpha=-188.31737768329396, beta=-112.16028235768968, gamma=1538.7586632101934, R2=0.17595728198708183

[valid_IFr_imp]
  distance=L0: alpha=-175.6504759191321, beta=-138.98885990540026, gamma=2015.685568922599, R2=0.22613797301153726
  distance=L1: alpha=-214.62569853387015, beta=-214.477171822875, gamma=1706.0074271717156, R2=0.3138572272201914
  distance=bL0: alpha=-175.8452259500744, beta=-117.02192797964594, gamma=1601.5060797798344, R2=0.2376678356978884


validity L0 L1 binned_L0 acc_imp IFr_imp valid_IFr_imp
0.0 14.24794871794872 7.796232863164986 13.37 2.037845705967962 28.58775849527174 35.66587735772026
0.05 14.25 7.701968795407706 13.368461538461537 0.29112081513828264 66.2371401849735 51.00841022291173
0.1 14.283846153846152 7.781540580334696 13.468974358974359 4.512372634643381 -44.497557934116195 -45.83163223646606
0.15 14.11051282051282 7.7191417770263895 13.234102564102566 1.892285298398821 67.16200768990959 59.55744263901364
0.2 14.250769230769231 7.792759553920192 13.350256410256412 -3.784570596797674 -70.1132702899304 -47.13807463052175
0.25 14.127692307692309 7.5920383980022 13.21948717948718 -5.96797671033481 57.05081575392289 52.48632318118723
0.3 14.222820512820514 7.6707384792181115 13.367179487179488 -6.259097525473092 37.6805569988569 21.02555727933372
0.35 14.086666666666668 7.68719229664252 13.201282051282053 6.259097525473077 -89.28608542034708 -61.63141993957704
0.4 14.146666666666667 7.705530685252407 13.256153846153847 3.784570596797674 -33.39914787488311 -38.2542663509431
0.45 14.124615384615385 7.629442770402048 13.264358974358974 5.385735080058212 27.475839135404765 16.03658038703356
0.5 14.063333333333333 7.580767125785229 13.202051282051281 3.347889374090234 -22.186428348747786 -11.455866742875806
0.55 14.048974358974357 7.5758630323924425 13.163846153846155 2.6200873362445436 -34.438324846721386 -37.739854658283654
0.6 13.866410256410257 7.48757970762269 12.866410256410257 2.328966521106261 -37.867608853787814 -18.061566097819863
0.65 13.845384615384614 7.390930632213435 12.944871794871796 7.423580786026191 -49.13228722851499 -47.94643586184372
0.7 13.746410256410254 7.360351145586438 12.762564102564102 -0.4366812227074401 24.62849423256779 33.853188535967995
0.75 13.69025641025641 7.286689896076771 12.651538461538461 1.7467248908296957 -4.8841317676400395 -4.515391524454962
0.8 13.57179487179487 7.182007530428342 12.577948717948718 6.550218340611343 -25.28317572482594 -8.189760757736586
0.85 13.515641025641026 7.162695382294919 12.511282051282052 3.347889374090234 -150.83653746232986 -88.29917530823872
0.9 13.431794871794873 7.091998657451145 12.404871794871793 2.474526928675386 2.629117738750914 7.209928962194827
0.95 13.279743589743592 6.969193440295252 12.27153846153846 7.132459970887908 -2.7330354359347475 14.036090471135797
1.0 13.158461538461538 6.877504367427439 12.095384615384614 3.930131004366799 20.232775641691767 8.810320894913046
