validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.95 12.706410256410257 6.342695871247907 11.732051282051282 0.775 0.08695 0.0855 0.77 0.040125 0.032575
0.95 12.356410256410257 6.366099729832759 11.611538461538462 0.785 0.0763 0.079 0.77 0.06915 0.079125
0.95 12.411538461538461 6.2636863187089435 11.621794871794872 0.77 0.0572 0.059575 0.72 0.063675 0.0737
0.95 13.101282051282052 6.7303721015033195 12.22948717948718 0.82 0.117025 0.118125 0.84 0.080725 0.082425
0.95 12.806410256410256 6.35321725534396 11.865384615384615 0.785 0.1332 0.132525 0.785 0.094975 0.090375
0.95 13.29102564102564 7.035086243570411 12.652564102564103 0.76 0.126025 0.129775 0.75 0.087175 0.0792
0.95 13.343589743589744 7.207659393145822 12.582051282051282 0.74 0.10855 0.107625 0.765 0.089725 0.0883
0.95 12.76923076923077 6.4708804468533 12.105128205128205 0.76 0.09855 0.102125 0.805 0.0301 0.0299
0.95 13.006410256410257 6.756359841767079 12.441025641025641 0.755 0.094675 0.095325 0.745 0.100775 0.11425
0.95 12.814102564102564 6.52476693241399 12.11025641025641 0.765 0.09405 0.10185 0.77 0.019475 0.025575
