validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.3 13.487179487179487 7.038337421753708 12.76923076923077 0.775 0.08695 0.0855 0.775 0.033475 0.03335
0.3 13.075641025641026 7.069117163630734 12.464102564102564 0.785 0.0763 0.079 0.785 0.0811 0.0876
0.3 13.48974358974359 7.394217633799076 13.023076923076923 0.77 0.0572 0.059575 0.73 0.041675 0.044
0.3 13.88076923076923 7.666861778241866 13.35 0.82 0.117025 0.118125 0.815 0.0888 0.087125
0.3 14.04102564102564 7.7345307570760085 13.373076923076923 0.785 0.1332 0.132525 0.765 0.080675 0.079525
0.3 14.087179487179487 7.764860593152441 13.528205128205128 0.76 0.126025 0.129775 0.745 0.10005 0.093525
0.3 13.938461538461539 7.7168456455560435 13.417948717948718 0.74 0.10855 0.107625 0.74 0.08585 0.09105
0.3 13.666666666666666 7.321301222658689 13.087179487179487 0.76 0.09855 0.102125 0.77 0.032725 0.03995
0.3 14.11025641025641 7.807706299482305 13.537179487179488 0.755 0.094675 0.095325 0.745 0.0856 0.0984
0.3 13.501282051282052 7.3940236824512935 12.983333333333333 0.765 0.09405 0.10185 0.74 0.0166 0.027775
