validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.4 13.892307692307693 7.693841402438696 13.430769230769231 0.765 0.03425 0.0262 0.76 0.11875 0.089425
0.4 13.874358974358975 7.44889315686827 13.382051282051282 0.755 0.179775 0.1445 0.75 0.171825 0.1511
0.4 14.196153846153846 7.8863746761031965 13.675641025641026 0.7 0.03075 0.027725 0.705 0.066075 0.06265
0.4 13.592307692307692 7.566841225642126 13.033333333333333 0.785 0.009375 0.00855 0.775 0.02935 0.027425
0.4 14.226923076923077 8.107855181520334 13.823076923076924 0.76 0.027125 0.0264 0.76 0.033075 0.040825
0.4 14.311538461538461 7.938794855220212 13.916666666666666 0.79 0.099475 0.08515 0.775 0.10865 0.099075
0.4 14.02948717948718 7.753749261045641 13.551282051282051 0.72 0.032675 0.02625 0.71 0.025025 0.019425
0.4 12.74102564102564 6.9474385079475445 12.173076923076923 0.76 0.006975 0.006075 0.78 0.086 0.071525
0.4 14.21923076923077 7.853638252145044 13.715384615384615 0.835 0.0594 0.05225 0.84 0.000125 0.0
0.4 13.943589743589744 7.60371696804955 13.49102564102564 0.775 0.118125 0.1034 0.775 0.039125 0.03715
