validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.35 14.006410256410257 7.96766019425521 13.553846153846154 0.765 0.03425 0.0262 0.755 0.05285 0.04115
0.35 14.069230769230769 7.839480867297607 13.666666666666666 0.755 0.179775 0.1445 0.755 0.123175 0.1251
0.35 14.293589743589743 8.150966151746681 13.844871794871795 0.7 0.03075 0.027725 0.705 0.0611 0.05575
0.35 13.612820512820512 7.767184362897039 13.071794871794872 0.785 0.009375 0.00855 0.785 0.039375 0.034725
0.35 14.03076923076923 7.968482657362749 13.584615384615384 0.76 0.027125 0.0264 0.765 0.042275 0.057375
0.35 14.117948717948718 8.058135183067312 13.737179487179487 0.79 0.099475 0.08515 0.765 0.0932 0.0857
0.35 14.162820512820513 7.901325104006093 13.703846153846154 0.72 0.032675 0.02625 0.72 0.031125 0.02645
0.35 12.396153846153846 6.6160268012530405 11.811538461538461 0.76 0.006975 0.006075 0.745 0.055975 0.048875
0.35 14.428205128205128 8.21331409289554 13.930769230769231 0.835 0.0594 0.05225 0.845 0.0503 0.055125
0.35 14.001282051282052 7.821206871308687 13.61025641025641 0.775 0.118125 0.1034 0.765 0.04625 0.04455
