validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.8 13.25897435897436 6.68097316836004 12.112820512820512 0.665 0.01155 0.028275 0.695 0.0 0.0
0.8 13.665384615384616 7.177658246730646 12.544871794871796 0.775 0.029025 0.045375 0.765 0.115575 0.132175
0.8 13.66025641025641 7.1748026646556085 12.747435897435897 0.775 0.162575 0.144525 0.725 0.0 0.0
0.8 13.965384615384615 7.6672506477936375 13.405128205128205 0.73 0.24665 0.165025 0.665 0.0 0.0
0.8 13.691025641025641 7.391490546909108 12.773076923076923 0.675 0.0414 0.040275 0.71 0.09645 0.06275
0.8 13.516666666666667 7.007140025635506 12.89102564102564 0.75 0.15595 0.14375 0.7 0.0 0.0
0.8 13.771794871794873 7.246669594859641 12.851282051282052 0.71 0.02705 0.03505 0.73 0.0582 0.024225
0.8 13.723076923076922 7.341252092552993 12.434615384615384 0.74 0.03725 0.03615 0.725 0.106725 0.140975
0.8 13.820512820512821 7.645477475013672 13.085897435897436 0.715 0.0222 0.02005 0.315 0.0 0.0
0.8 13.647435897435898 7.1184943286979525 12.514102564102565 0.725 0.048475 0.0405 0.66 0.041825 0.03305
