validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.0 13.994871794871795 7.254630205139252 12.856410256410257 0.665 0.01155 0.028275 0.695 0.080875 0.06805
0.0 14.405128205128205 8.092974767816402 13.548717948717949 0.775 0.029025 0.045375 0.775 0.150275 0.150075
0.0 14.444871794871794 7.797400759120219 13.835897435897436 0.775 0.162575 0.144525 0.735 0.069975 0.07775
0.0 14.462820512820512 8.179303587312631 13.76025641025641 0.73 0.24665 0.165025 0.665 0.0 0.0
0.0 14.317948717948719 7.711435960972152 13.652564102564103 0.675 0.0414 0.040275 0.3 0.0 0.0
0.0 14.193589743589744 7.703699039773707 13.673076923076923 0.75 0.15595 0.14375 0.705 0.0719 0.0579
0.0 14.257692307692308 7.599565094282294 13.438461538461539 0.71 0.02705 0.03505 0.71 0.00145 0.003525
0.0 14.26025641025641 7.80462853385929 13.084615384615384 0.74 0.03725 0.03615 0.715 0.0 0.0
0.0 14.179487179487179 7.732897971812008 13.002564102564103 0.715 0.0222 0.02005 0.685 0.0 0.0
0.0 14.346153846153847 7.686531817855353 13.517948717948718 0.725 0.048475 0.0405 0.335 0.0 0.0
