validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.75 13.158974358974358 6.752482347968777 12.023076923076923 0.665 0.01155 0.028275 0.695 0.0 0.0
0.75 13.674358974358974 7.245262846756063 12.67051282051282 0.775 0.029025 0.045375 0.745 0.18335 0.057475
0.75 13.788461538461538 7.413621456472144 12.884615384615385 0.775 0.162575 0.144525 0.74 0.03945 0.037575
0.75 13.929487179487179 7.70571132989685 13.320512820512821 0.73 0.24665 0.165025 0.335 0.0 0.0
0.75 13.847435897435897 7.533738805186776 12.957692307692307 0.675 0.0414 0.040275 0.735 0.00605 0.009925
0.75 13.556410256410256 7.284398643086421 12.96025641025641 0.75 0.15595 0.14375 0.3 0.0 0.0
0.75 13.952564102564102 7.483347062690948 13.09871794871795 0.71 0.02705 0.03505 0.725 0.029475 0.044125
0.75 13.656410256410256 7.180161768849551 12.542307692307693 0.74 0.03725 0.03615 0.715 0.0 0.0
0.75 13.82948717948718 7.711226070309779 13.158974358974358 0.715 0.0222 0.02005 0.685 0.0 0.0
0.75 13.828205128205129 7.294200327073631 12.74102564102564 0.725 0.048475 0.0405 0.665 0.0 0.0
