validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.0 14.188461538461539 8.00623634660966 13.72051282051282 0.81 0.23335 0.182325 0.83 0.1195 0.129125
0.0 14.066666666666666 7.9109063585986705 13.555128205128206 0.76 0.238225 0.178475 0.775 0.147275 0.14105
0.0 14.125641025641025 7.746842620677462 13.702564102564102 0.74 0.261125 0.15155 0.775 0.145675 0.171225
0.0 14.234615384615385 8.08069702042553 13.571794871794872 0.765 0.24875 0.1672 0.755 0.2017 0.16685
0.0 14.02948717948718 8.041262893717652 13.644871794871795 0.715 0.18985 0.146325 0.745 0.12955 0.131075
0.0 14.134615384615385 8.02256897828165 13.656410256410256 0.76 0.263925 0.135125 0.765 0.21795 0.209775
0.0 14.12051282051282 7.98173268913088 13.679487179487179 0.795 0.167875 0.144825 0.745 0.155475 0.128825
0.0 13.996153846153845 7.857825512848132 13.538461538461538 0.74 0.206825 0.166975 0.735 0.222425 0.130875
0.0 14.1 7.744899156901429 13.551282051282051 0.73 0.1909 0.149825 0.725 0.21505 0.132475
0.0 13.493589743589743 7.705849466019155 13.116666666666667 0.795 0.22465 0.1548 0.8 0.2231 0.159775
