validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.05 14.205128205128204 7.933316330476957 13.688461538461539 0.81 0.23335 0.182325 0.815 0.085875 0.14075
0.05 14.042307692307693 7.948752714103391 13.593589743589744 0.76 0.238225 0.178475 0.8 0.148825 0.18115
0.05 14.105128205128205 7.914875828043254 13.662820512820513 0.74 0.261125 0.15155 0.78 0.182675 0.1687
0.05 14.158974358974358 8.076269551212992 13.494871794871795 0.765 0.24875 0.1672 0.76 0.171175 0.178675
0.05 14.287179487179488 8.29080633042171 13.888461538461538 0.715 0.18985 0.146325 0.74 0.155175 0.156075
0.05 13.944871794871794 7.921439358780989 13.383333333333333 0.76 0.263925 0.135125 0.755 0.2728 0.209025
0.05 14.03076923076923 7.868023607865231 13.521794871794873 0.795 0.167875 0.144825 0.75 0.185475 0.1498
0.05 14.07948717948718 7.63488955740087 13.575641025641026 0.74 0.206825 0.166975 0.735 0.1773 0.131625
0.05 14.24102564102564 7.985215898982871 13.72051282051282 0.73 0.1909 0.149825 0.72 0.15575 0.131
0.05 13.756410256410257 7.814027812308355 13.341025641025642 0.795 0.22465 0.1548 0.8 0.181875 0.138975
