validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.3 14.070512820512821 7.933439701324317 13.580769230769231 0.81 0.23335 0.182325 0.8 0.071 0.108725
0.3 13.925641025641026 7.753747796949165 13.501282051282052 0.76 0.238225 0.178475 0.79 0.20915 0.1841
0.3 13.942307692307692 7.934316570809792 13.453846153846154 0.74 0.261125 0.15155 0.77 0.1454 0.173075
0.3 14.105128205128205 8.031565119144298 13.57948717948718 0.765 0.24875 0.1672 0.775 0.227075 0.175625
0.3 14.073076923076924 7.852916286830316 13.687179487179487 0.715 0.18985 0.146325 0.72 0.190725 0.16615
0.3 14.092307692307692 8.112565594285048 13.701282051282051 0.76 0.263925 0.135125 0.775 0.2424 0.187375
0.3 14.071794871794872 7.963579108171861 13.584615384615384 0.795 0.167875 0.144825 0.74 0.195975 0.14595
0.3 14.044871794871796 7.873192089459057 13.580769230769231 0.74 0.206825 0.166975 0.755 0.117325 0.12215
0.3 14.114102564102565 7.735180373924709 13.635897435897435 0.73 0.1909 0.149825 0.735 0.173025 0.1476
0.3 13.675641025641026 7.743650448345031 13.323076923076924 0.795 0.22465 0.1548 0.785 0.241075 0.178125
