validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.9 12.13974358974359 6.201928905684564 11.46025641025641 0.765 0.06685 0.05925 0.795 0.065875 0.059125
0.9 12.902564102564103 6.7252184956823 12.324358974358974 0.745 0.10975 0.08305 0.725 0.042875 0.039475
0.9 12.943589743589744 6.719470950115742 12.182051282051281 0.785 0.0731 0.05335 0.805 0.05265 0.0347
0.9 12.885897435897435 6.57151960784314 12.248717948717948 0.72 0.08475 0.068825 0.74 0.101625 0.074825
0.9 13.060256410256411 7.002478190487247 12.411538461538461 0.95 0.071375 0.053825 0.735 0.057025 0.05205
0.9 13.121794871794872 6.787926784125887 12.361538461538462 0.82 0.094175 0.07835 0.805 0.04665 0.03865
0.9 12.808974358974359 6.8577113823833376 12.228205128205127 0.805 0.0873 0.074475 0.77 0.056125 0.050225
0.9 12.676923076923076 6.248695724838261 11.626923076923077 0.76 0.0907 0.0698 0.77 0.087925 0.062125
0.9 12.902564102564103 6.360561522439353 12.22051282051282 0.785 0.144375 0.1108 0.795 0.12635 0.120375
0.9 13.312820512820513 7.037975886607113 12.63974358974359 0.725 0.0922 0.070375 0.74 0.049925 0.03415
