validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.05 13.212820512820512 7.394294222620012 12.607692307692307 0.765 0.06685 0.05925 0.765 0.0555 0.047625
0.05 13.95 7.461895811579054 13.442307692307692 0.745 0.10975 0.08305 0.75 0.026575 0.041925
0.05 13.992307692307692 7.691203666871092 13.424358974358974 0.785 0.0731 0.05335 0.78 0.0339 0.037975
0.05 13.92051282051282 7.778028248774858 13.393589743589743 0.72 0.08475 0.068825 0.74 0.0343 0.0431
0.05 14.052564102564103 7.577796962966647 13.473076923076922 0.95 0.071375 0.053825 0.75 0.07245 0.087875
0.05 13.878205128205128 7.680249808009999 13.123076923076923 0.82 0.094175 0.07835 0.805 0.0231 0.0317
0.05 13.561538461538461 7.3892797335897 12.930769230769231 0.805 0.0873 0.074475 0.775 0.049125 0.052025
0.05 13.533333333333333 7.320446356057222 12.865384615384615 0.76 0.0907 0.0698 0.77 0.0314 0.035775
0.05 13.957692307692307 7.830534436654344 13.398717948717948 0.785 0.144375 0.1108 0.79 0.0841 0.0836
0.05 13.715384615384615 7.474714321626088 13.015384615384615 0.725 0.0922 0.070375 0.755 0.02305 0.03015
