validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.0 13.007692307692308 7.220990102155265 12.462820512820512 0.765 0.06685 0.05925 0.815 0.0491 0.052525
0.0 13.921794871794871 7.585571052878751 13.396153846153846 0.745 0.10975 0.08305 0.75 0.019325 0.040825
0.0 13.97948717948718 7.54419865579368 13.25 0.785 0.0731 0.05335 0.785 0.046975 0.0454
0.0 13.957692307692307 7.7386047989215445 13.396153846153846 0.72 0.08475 0.068825 0.735 0.056725 0.0513
0.0 14.058974358974359 7.8081129453753855 13.442307692307692 0.95 0.071375 0.053825 0.72 0.08095 0.0723
0.0 13.96923076923077 7.81276725285775 13.242307692307692 0.82 0.094175 0.07835 0.795 0.0259 0.037675
0.0 14.011538461538462 7.697689835302965 13.378205128205128 0.805 0.0873 0.074475 0.795 0.02895 0.0422
0.0 13.426923076923076 7.197007027663135 12.652564102564103 0.76 0.0907 0.0698 0.74 0.040225 0.038375
0.0 13.771794871794873 7.6330350305802845 13.235897435897435 0.785 0.144375 0.1108 0.795 0.079875 0.0947
0.0 13.624358974358975 7.623266371637428 13.037179487179488 0.725 0.0922 0.070375 0.735 0.028625 0.0393
