validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.55 13.387179487179488 6.979514983508204 12.12948717948718 0.695 0.000675 0.0002 0.74 0.016725 0.01685
0.55 13.378205128205128 7.020244200244185 12.093589743589744 0.73 0.0041 0.006025 0.72 0.0 0.0
0.55 13.578205128205129 7.355431411223263 13.006410256410257 0.705 0.00645 0.0042 0.365 0.0 0.0
0.55 13.46025641025641 7.016744968204246 12.267948717948718 0.725 0.010325 0.010525 0.715 0.0 0.0
0.55 13.571794871794872 7.280847104127645 12.86923076923077 0.77 0.018275 0.01775 0.675 0.0 0.0
0.55 13.90128205128205 7.424661614152571 13.180769230769231 0.71 0.0367 0.0324 0.35 0.005 0.00225
0.55 13.665384615384616 7.077441242769297 12.925641025641026 0.715 0.040725 0.032 0.65 0.0022 0.003
0.55 13.723076923076922 7.241732896314336 12.905128205128205 0.755 0.029025 0.034725 0.785 0.016775 0.014775
0.55 13.406410256410256 6.9824332454875435 12.175641025641026 0.75 0.02715 0.042975 0.79 0.03545 0.03945
0.55 13.334615384615384 6.670866620810054 12.261538461538462 0.745 0.02565 0.028125 0.695 0.000425 0.00125
