validity average_pairwise_L0_distance average_pairwise_L1_distance average_pairwise_binned_L0_distance accuracy_trained IFr_trained valid_IFr_trained accuracy_retrained IFr_retrained valid_IFr_retrained
0.5 13.351282051282052 6.96025433842176 12.126923076923077 0.695 0.000675 0.0002 0.745 0.0442 0.0467
0.5 13.408974358974358 6.931900880667844 12.060256410256411 0.73 0.0041 0.006025 0.28 0.0 0.0
0.5 13.424358974358974 7.129875316990715 12.73076923076923 0.705 0.00645 0.0042 0.695 0.023525 0.03145
0.5 13.551282051282051 7.281158915242631 12.439743589743589 0.725 0.010325 0.010525 0.735 0.032625 0.0463
0.5 13.573076923076924 7.078426966447337 12.808974358974359 0.77 0.018275 0.01775 0.675 0.0 0.0
0.5 13.856410256410257 7.368635627821155 13.142307692307693 0.71 0.0367 0.0324 0.65 0.0 0.0
0.5 13.646153846153846 7.184622594599973 12.908974358974358 0.715 0.040725 0.032 0.665 0.017 0.013325
0.5 13.65128205128205 7.191667288217053 12.924358974358974 0.755 0.029025 0.034725 0.245 0.0 0.0
0.5 13.747435897435897 7.263590461825757 12.561538461538461 0.75 0.02715 0.042975 0.23 7.5e-05 0.0
0.5 13.293589743589743 6.63805120470279 12.13076923076923 0.745 0.02565 0.028125 0.3 0.0 0.0
